week,ID,casulties_week,casulties_cumulative,territory_week_miles,territory_cumulative_miles,aid_week,aid_cumulative
0,1,1000,1000,13721,13721,0,0
1,1,8000,9000,16326,30047,350,350
2,1,3000,12000,579,30626,0,350
3,1,2000,14000,-90,30536,1000,1350
4,1,1800,15800,3812,34348,0,1350
5,1,1700,17500,-2438,31910,0,1350
6,1,1400,18900,-10184,21726,400,1750
7,1,1000,19900,2527,24253,800,2550
8,1,1100,21000,1354,25607,800,3350
9,1,1800,22800,1701,27308,0,3350
10,1,1900,24700,-488,26820,0,3350
11,1,1950,26650,815,27635,150,3500
12,1,1850,28500,-41,27594,100,3600
13,1,1100,29600,425,28019,0,3600
14,1,1250,30850,52,28071,700,4300
15,1,850,31700,-87,27984,0,4300
16,1,1250,32950,343,28327,1000,5300
17,1,1480,34430,-14,28313,450,5750
18,1,1170,35600,232,28545,0,5750
19,1,1050,36650,117,28662,820,6570
20,1,1220,37870,146,28808,400,6970
21,1,980,38850,105,28913,0,6970
22,1,1380,40230,32,28945,270,7240
23,1,1270,41500,7,28952,550,7790
24,1,1500,43000,42,28994,1000,8790
25,1,1300,44300,627,29621,0,8790
26,1,1550,45850,-53,29568,3755,12545
27,1,2500,48350,-33,29535,0,12545
28,1,2900,51250,-596,28939,675,13220
29,1,2600,53850,-2280,26659,600,13820
30,1,1660,55510,-234,26425,0,13820
31,1,3070,58580,-362,26063,1100,14920
32,1,2750,61330,-920,25143,625,15545
33,1,2470,63800,-164,24979,0,15545
34,1,2850,66650,-14,24965,725,16270
35,1,2570,69220,-5,24960,0,16270
36,1,4780,74000,9,24969,275,16545
37,1,4690,78690,-1336,23633,400,16945
38,1,4420,83110,-92,23541,0,16945
39,1,2610,85720,-2,23539,400,17345
40,1,3720,89440,4,23543,0,17345
41,1,3640,93080,-1,23542,0,17345
42,1,3510,96590,3,23545,275,17620
43,1,3810,100400,-1,23544,1850,19470
44,1,4160,104560,0,23544,0,19470
0,2,1000,1000,13721,13721,105.25,105.25
1,2,8000,9000,16326,30047,236.8484948,342.0984948
2,2,3000,12000,579,30626,243.2435,585.3419948
3,2,2000,14000,-90,30536,53.5635,638.9054948
4,2,1800,15800,3812,34348,710.9032,1349.808695
5,2,1700,17500,-2438,31910,232.988565,1582.79726
6,2,1400,18900,-10184,21726,161.4363157,1744.233575
7,2,1000,19900,2527,24253,494,2238.233575
8,2,1100,21000,1354,25607,111.2355452,2349.469121
9,2,1800,22800,1701,27308,710.6084223,3060.077543
10,2,1900,24700,-488,26820,1618.461701,4678.539244
11,2,1950,26650,815,27635,487.5,5166.039244
12,2,1850,28500,-41,27594,25.096,5191.135244
13,2,1100,29600,425,28019,104,5295.135244
14,2,1250,30850,52,28071,336.4,5631.535244
15,2,850,31700,-87,27984,566.7458318,6198.281076
16,2,1250,32950,343,28327,60,6258.281076
17,2,1480,34430,-14,28313,100,6358.281076
18,2,1170,35600,232,28545,1837.484058,8195.765134
19,2,1050,36650,117,28662,400,8595.765134
20,2,1220,37870,146,28808,60.4592,8656.224334
21,2,980,38850,105,28913,0,8656.224334
22,2,1380,40230,32,28945,0,8656.224334
23,2,1270,41500,7,28952,86.62307332,8742.847407
24,2,1500,43000,42,28994,233,8975.847407
25,2,1300,44300,627,29621,0,8975.847407
26,2,1550,45850,-53,29568,5,8980.847407
27,2,2500,48350,-33,29535,88,9068.847407
28,2,2900,51250,-596,28939,20,9088.847407
29,2,2600,53850,-2280,26659,0,9088.847407
30,2,1660,55510,-234,26425,3,9091.847407
31,2,3070,58580,-362,26063,600,9691.847407
32,2,2750,61330,-920,25143,454.0929645,10145.94037
33,2,2470,63800,-164,24979,255.45,10401.39037
34,2,2850,66650,-14,24965,100.413193,10501.80356
35,2,2570,69220,-5,24960,0,10501.80356
36,2,4780,74000,9,24969,0,10501.80356
37,2,4690,78690,-1336,23633,278,10779.80356
38,2,4420,83110,-92,23541,773.35,11553.15356
39,2,2610,85720,-2,23539,71,11624.15356
40,2,3720,89440,4,23543,400,12024.15356
41,2,3640,93080,-1,23542,293.2720382,12317.4256
42,2,3510,96590,3,23545,293.2720382,12610.69764
43,2,3810,100400,-1,23544,293.2720382,12903.96968
44,2,4160,104560,0,23544,293.2720382,13197.24172
